i,p,q,RMSE,var,AIC,BIC,convergence,stationarity
2,1,1,1.1764144263229463e+18,1.1757349944391409e+18,24357.138095015325,24382.425743605854,0.0,0.0
2,1,2,1.1066903053907169e+25,1.3343964930378613e+31,32997.36275305977,33026.86500974873,0.0,0.0
2,1,3,1.3971631486613305e+21,9.059813684651141e+26,17240.650116149514,17274.36698093689,0.0,0.0
2,1,4,1.0709981867476194e+26,4.2755728330656656e+32,20382.714718824533,20420.646191710333,0.0,0.0
2,1,5,1.690318856823315e+29,5.735371452270152e+34,28029.69136469333,28071.83744567756,0.0,0.0
2,1,6,4.0009893524982306e+27,2.1440595836541664e+29,20875.10395088037,20921.46463996301,0.0,0.0
2,2,0,1.632777997312701e+17,3.2015944612982284e+16,32383.04734822071,32408.33499681124,0.0,0.0
2,2,1,2.4978257564545807e+23,2.5026161426287604e+23,26501.73852863841,26531.240785327365,0.0,0.0
2,2,2,4.492604355021636e+25,1.1102622933546752e+26,16377.52080692413,16411.23767171151,0.0,0.0
2,2,3,2.4300987683357906e+18,6.914607453208987e+24,30896.0824630976,30934.013935983396,0.0,0.0
2,2,4,1.6629980768064858e+23,6.461935893851348e+28,19794.61415144868,19836.760232432905,0.0,0.0
2,2,5,3.0643408692164325e+23,2.4077450238591727e+29,20994.11742150009,21040.47811058273,0.0,0.0
2,2,6,1.0684995410106288e+31,2.0991447549607854e+28,30869.960561946868,30920.535859127933,0.0,0.0
2,3,0,1.70495374198967e+20,1.702490265885573e+20,24566.866652586777,24596.368909275734,0.0,0.0
2,3,1,3.670508832746529e+23,3.670509869072519e+23,22396.2389376717,22429.95580245908,0.0,0.0
2,3,2,4.3479855241607467e+24,2.12507867114406e+25,21469.06922681172,21507.000699697517,0.0,0.0
2,3,3,1.855694561537967e+31,3.2632667204579645e+35,24540.105118918553,24582.251199902774,0.0,0.0
2,3,4,1.9283391027447889e+21,3.7669855886263746e+26,21472.27459218392,21518.63528126656,0.0,0.0
2,3,5,3.477829059928679e+29,3.975763528294794e+29,30987.17483096489,31037.750128145955,0.0,0.0
2,3,6,4.621549412991027e+26,8.236843105184635e+32,37369.70760615459,37424.49751143408,0.0,0.0
2,4,0,1.3848541917151303e+26,1.3831081123560724e+26,27904.336617718636,27938.053482506006,0.0,0.0
2,4,1,8.848173976749996e+25,3.5158441079567297e+28,13103.857729524912,13141.789202410713,0.0,0.0
2,4,2,3.079381232651161e+16,1.592662315370634e+17,31737.00544173662,31779.15152272084,0.0,0.0
2,4,3,9.888910865797386e+20,1.5405096566397593e+22,23664.626195060522,23710.986884143163,0.0,0.0
2,4,4,3.811022261479884e+25,3.8214376202921185e+25,25871.98178973409,25922.55708691516,0.0,0.0
2,4,5,3.5646002666470685e+21,4.871980867053781e+24,30959.696371189864,31014.486276469353,0.0,0.0
2,4,6,4.3415497353804166e+17,1.0206420456423303e+19,25557.351769293782,25616.356282671688,0.0,0.0
2,5,0,1.7133384533422784e+22,1.7133839197898273e+22,21337.78636896711,21375.71784185291,0.0,0.0
2,5,1,1.130778492252017e+18,1.1346644715327996e+18,22880.361453595917,22922.50753458014,0.0,0.0
2,5,2,6.964406296361472e+25,1.3829381614343262e+32,18455.65547220049,18502.01616128314,0.0,0.0
2,5,3,7.527058623900888e+27,9.081706916478166e+27,32579.517946880358,32630.09324406142,0.0,0.0
2,5,4,1.5786320521195542e+21,5.452767498354646e+27,17590.839065700446,17645.628970979935,0.0,0.0
2,5,5,3.784589833220141e+24,7.461960485212951e+24,45987.956604430125,46046.96111780803,0.0,0.0
2,5,6,6.580636628415067e+21,1.081369534656385e+28,29617.225065427832,29680.444186904162,0.0,0.0
2,6,0,9.334462291950653e+26,4.663683871946739e+27,39841.89763902588,39884.04372001011,0.0,0.0
2,6,1,2.273565028006154e+22,8.311938322018778e+22,37444.83055365409,37491.191242736735,0.0,0.0
2,6,2,8.531256405980762e+23,9.047580495833942e+23,18431.970991039954,18482.54628822102,0.0,0.0
2,6,3,2.64137890805186e+28,2.656474838410927e+28,27363.73530280693,27418.525208086416,0.0,0.0
2,6,4,1.9000969920000257e+43,7.592965723403155e+49,30138.711728939357,30197.71624231727,0.0,0.0
2,6,5,3.1564722808122155e+27,3.204322302643849e+31,22484.724661861404,22547.943783337745,0.0,0.0
2,6,6,1.4128637544883401e+28,1.4129315319138242e+28,25864.055172030956,25931.48890160571,0.0,0.0
