i,p,q,RMSE,var,AIC,BIC,convergence,stationarity
1,5,3,0.06024957448643083,0.003060447666794578,-270.99287588185604,-239.73083364999894,0.0,0.0
1,5,4,0.060244840020971635,0.003064683136202337,-269.053901480381,-235.1866890625359,0.0,0.0
1,5,5,0.060146429535024595,0.0030609547100030805,-267.622498373837,-231.1501157700037,0.0,0.0
1,5,6,0.06020118429328617,0.0030607037282000395,-266.30037167787543,-227.22281888805404,0.0,0.0
1,6,0,0.06015971490768865,0.003060717719203238,-274.75132519594666,-248.69962333606574,0.0,0.0
1,6,1,0.060166834165599814,0.00353372175966503,-272.6947657522183,-244.0378937063493,0.0,0.0
1,6,2,0.06015895413163993,0.0030607573571108837,-270.8738007969139,-239.6117585650568,0.0,0.0
1,6,3,0.06015097959029514,0.0030609940326584667,-269.3900168171774,-235.52280439933222,0.0,0.0
1,6,4,0.060188260173495094,0.0030607791412361183,-267.54279203722575,-231.07040943339243,0.0,0.0
1,6,5,0.06019031841657014,0.003061172949702348,-266.07899573657954,-227.00144294675817,0.0,0.0
1,6,6,969.9688611401925,0.0030606452992281087,-244.20764068282867,-202.52491770701917,0.0,0.0
2,0,0,0.05471493914496748,0.0030606452992281087,-231.8030221491417,-190.12029917333214,0.0,704.0
2,0,1,0.05471493914496748,0.0030606452992281087,-231.8030221491417,-190.12029917333214,0.0,704.0
2,0,2,0.05471493914496748,0.0030606452992281087,-231.8030221491417,-190.12029917333214,0.0,704.0
2,0,3,0.05471493914496748,0.0030606452992281087,-231.8030221491417,-190.12029917333214,0.0,704.0
2,0,4,0.05471493914496748,0.0030606452992281087,-231.8030221491417,-190.12029917333214,0.0,704.0
2,0,5,0.05471493914496748,0.0030606452992281087,-231.8030221491417,-190.12029917333214,0.0,704.0
2,0,6,0.05471493914496748,0.0030606452992281087,-231.8030221491417,-190.12029917333214,0.0,704.0
2,1,0,0.05465373338751023,0.0016185883058988197,-304.8974987410142,-291.87164781107373,0.0,0.0
2,1,1,0.05465218030204983,0.001618792461523465,-305.61477041138346,-289.98374929545486,0.0,0.0
2,1,2,0.13066978324548809,0.0016188369016730366,-295.7274668744871,-277.49127557257054,0.0,0.0
2,1,3,0.05468744835795916,0.0016187149714999903,-300.5399257495658,-279.69856426166103,0.0,0.0
2,1,4,489486747.63948524,0.001618642049793013,-281.26473047675984,-257.8181988028671,0.0,0.0
2,1,5,1.5991026835193667,0.0014105431934063615,-296.67234060079977,-270.6206387409189,0.0,0.0
2,1,6,2.8205001673716317,0.0014105776678720319,-274.93144179170247,-246.27456974583345,0.0,0.0
2,2,0,0.05460467323340267,0.0016186037353546835,-303.7030452482531,-288.0720241323245,0.0,0.0
2,2,1,11901.644626667587,0.0016185663337766605,-293.95949469353,-275.7233033916134,0.0,0.0
2,2,2,0.054641920303061725,0.0016190951400960778,-302.0899360796935,-281.2485745917887,0.0,0.0
2,2,3,0.05469086889837863,0.0016185894760043231,-300.5840782151477,-277.13754654125495,0.0,0.0
2,2,4,0.05467984734875715,0.0016186724915005155,-298.90278174392876,-272.85107988404786,0.0,0.0
2,2,5,68.42762545960069,0.0016187740333511692,-262.1207061044408,-233.46383405857176,0.0,0.0
2,2,6,188.39921783440053,0.0016186473595746537,-284.60993804709557,-253.34789581523847,0.0,0.0
2,3,0,0.05458897103429027,0.001618712732850521,-301.9025950740484,-283.66640377213173,0.0,0.0
2,3,1,0.054649916115169304,0.001618741392278534,-301.84851643040815,-281.0071549425034,0.0,0.0
2,3,2,0.054630261077132,0.0016184318749158048,-300.11092137354876,-276.664389699656,0.0,0.0
2,3,3,0.05467560467170838,0.0016196811731245988,-298.5577060714064,-272.5060042115255,0.0,0.0
2,3,4,0.05466922916844425,0.0016186253251421776,-296.96240771038606,-268.30553566451704,0.0,0.0
2,3,5,642.3950362305715,0.0016210774103498624,-288.00149173161407,-256.739449499757,0.0,0.0
2,3,6,0.5703296071485017,0.0016187408329121848,-290.2144891903686,-256.34727677252346,0.0,0.0
2,4,0,0.05460576536609417,0.0016187126245904042,-300.9045563377645,-280.06319484985977,0.0,0.0
2,4,1,0.05465028585509784,0.001618804242162408,-300.4273054532943,-276.9807737794015,0.0,0.0
2,4,2,0.05468532836852887,0.0016187215830781605,-298.68656697969476,-272.6348651198138,0.0,0.0
2,4,3,0.05472389605587162,0.0016186150612090538,-296.9616192003168,-268.30474715444785,0.0,0.0
2,4,4,0.05473490796904507,0.001618618914790227,-295.5351067811129,-264.2730645492559,0.0,0.0
2,4,5,622.2964636930784,0.0016201478244272168,-273.6795954741049,-239.81238305625968,0.0,0.0
2,4,6,2424265.68633896,0.0016188774723982777,-277.5731040620226,-241.1007214581893,0.0,0.0
2,5,0,0.05462897073077813,0.0016188321139391315,-299.7493880270491,-276.3028563531563,0.0,0.0
2,5,1,28.898133908235746,0.001618857876931067,-294.61789828006954,-268.56619642018865,0.0,0.0
2,5,2,0.05467692006782099,0.0016186705660127198,-297.34763067819745,-268.6907586323284,0.0,0.0
2,5,3,0.4518706503538782,0.0016186831736515266,-248.39325512863854,-217.13121289678148,0.0,0.0
2,5,4,4438.342049000392,0.0016186559548373642,-273.4182151981535,-239.55100278030832,0.0,0.0
2,5,5,32222974.162588153,0.0016188502746602158,-245.0003937442163,-208.52801114038294,0.0,0.0
2,5,6,0.2018596119117054,0.001619604757498134,-282.48409229882947,-243.40653950900813,0.0,0.0
2,6,0,0.057196879191726356,0.0015792785656733475,-290.1754065579577,-264.1237046980768,0.0,0.0
2,6,1,20450135.28980439,0.0016188870858543903,-269.0916624853498,-240.43479043948074,0.0,0.0
2,6,2,3990.4261452038854,0.0016186224461205,-203.75058287746214,-172.48854064560507,0.0,0.0
2,6,3,23686.831392202203,0.0016186761950599546,-282.1521959828383,-248.28498356499304,0.0,0.0
2,6,4,82595753.61067447,0.0015767107669230943,-227.08499238955383,-190.61260978572054,0.0,0.0
2,6,5,3364.556564683344,0.0015802442887920245,-268.9010605593489,-229.8235077695275,0.0,0.0
2,6,6,11206387.469586827,0.001741424198109003,-33.26228689875827,8.420436077051239,0.0,0.0
