i,p,q,RMSE,AIC,BIC,convergence,stationarity
2,0,0,0.05461001753830089,-305.94553485437206,-300.73519448239585,0.0,0.0
2,0,1,0.05500365000679665,-305.64541316157124,-297.82990260360697,0.0,0.0
2,0,2,0.05536457669981006,-304.85552830724987,-294.43484756329747,0.0,0.0
2,0,3,0.05562877619170365,-304.8215785417113,-291.7957276117708,0.0,0.0
2,0,4,0.0562583553303845,-303.92062821146123,-288.2896070955327,0.0,0.0
2,1,0,0.05497609945390402,-305.3337721469903,-297.518261589026,0.0,0.0
2,1,1,0.05531269503874257,-305.0676223085554,-294.646941564603,0.0,0.0
2,1,2,0.05555135359881668,-304.587127148961,-291.5612762190205,0.0,0.0
2,1,3,0.056003250239028614,-304.6208931666106,-288.98987205068204,0.0,0.0
2,1,4,0.056826067548958414,-303.8198980297766,-285.5837067278599,0.0,0.0
2,2,0,0.05528945484157104,-304.9835991363737,-294.56291839242135,0.0,0.0
2,2,1,0.055403882093215416,-304.61231249180486,-291.5864615618644,0.0,0.0
2,2,2,0.05615342529228579,-305.46567385868485,-289.8346527427563,0.0,0.0
2,2,3,0.056593602764460876,-304.4888021104206,-286.25261080850396,0.0,0.0
2,2,4,0.05697666627861056,-303.02869010456754,-282.1873286166628,0.0,0.0
2,3,0,0.05555224998751899,-305.235053106885,-292.20920217694453,0.0,0.0
2,3,1,0.05588830676139752,-304.8971215229407,-289.26610040701223,0.0,0.0
2,3,2,0.056373776118624555,-304.2462550014001,-286.01006369948345,0.0,0.0
2,3,3,0.0566250832164292,-303.4193584159046,-282.57799692799983,0.0,0.0
2,3,4,0.05731656064293069,-302.3852807454487,-278.9387490715559,0.0,0.0
2,4,0,0.0560654606376908,-304.0777767538408,-288.44675563791225,0.0,0.0
2,4,1,0.05624629301160931,-304.0266879977335,-285.7904966958169,0.0,0.0
2,4,2,0.056606905478775976,-302.4058642232134,-281.5645027353087,0.0,0.0
2,4,3,0.056455277783195,-301.39283773719495,-277.94630606330213,0.0,0.0
2,4,4,0.05696184966721476,-300.8329636734146,-274.78126181353366,0.0,0.0
