i,p,q,RMSE,var,AIC,BIC,convergence,stationarity
1,2,6,0.004691990043151594,0.00432612741773297,-1404.9992084279233,-1354.4239112468572,0.0,0.0
1,3,0,0.004525873267744839,0.0034555348309920075,-1426.1631088380745,-1396.660852149119,0.0,0.0
1,3,1,0.004523446150312062,0.00419958371982666,-1429.8738666072331,-1396.1570018198556,0.0,0.0
1,3,2,0.004528368547002064,0.0042132956155956835,-1427.0238719135662,-1389.0923990277665,0.0,0.0
1,3,3,0.00452016496702146,0.004231363848246745,-1425.317022165126,-1383.1709411809043,0.0,0.0
1,3,4,0.010490332378592806,0.00935040228083941,-1349.3408761514409,-1302.9801870687968,0.0,0.0
1,3,5,0.6739880969359701,0.6670896049824199,-1393.4426093466138,-1342.8673121655477,0.0,0.0
1,3,6,6.654881463795858,7.016553467226043,-1389.578113509882,-1334.7882082303936,0.0,0.0
1,4,0,0.004525473254687145,0.0034552797572618824,-1424.169377366822,-1390.4525125794444,0.0,0.0
1,4,1,0.004527010737538276,0.004202192861820039,-1427.7191815164567,-1389.787708630657,0.0,0.0
1,4,2,0.004527753085142368,0.004224489546929201,-1425.4047150204606,-1383.2586340362386,0.0,0.0
1,4,3,0.004525556336153813,0.004241832160807167,-1423.3300319635068,-1376.9693428808623,0.0,0.0
1,4,4,0.0045290715009568576,0.004250925854202556,-1422.0392710006204,-1371.463973819554,0.0,0.0
1,4,5,212.57882979452285,213.8143075616495,-1116.8253603136525,-1062.0354550341638,0.0,0.0
1,4,6,0.004527623545407403,0.004223394330202294,-1417.7534972655021,-1358.7489838875915,0.0,0.0
1,5,0,0.004526220756897418,0.003460587200832308,-1422.28701413816,-1384.3555412523604,0.0,0.0
1,5,1,0.004527728238734399,0.0042064534201373145,-1426.0086042337484,-1383.8625232495267,0.0,0.0
1,5,2,4082454997.729742,449048056.14924693,-1035.8940828505376,-989.5333937678937,0.0,0.0
1,5,3,0.0045255902144918005,0.004238340371242644,-1420.743073371891,-1370.1677761908247,0.0,0.0
1,5,4,0.004527576161577132,0.004201507463284431,-1418.9130307822522,-1364.123125502764,0.0,0.0
1,5,5,0.004531858795469821,0.004236505610964295,-1418.5357775788011,-1359.5312642008905,0.0,0.0
1,5,6,0.004532274334886373,0.0042679210901185064,-1417.0745317356616,-1353.8554102593287,0.0,0.0
1,6,0,0.0045259938256787145,0.003505419715486692,-1420.7120956619756,-1378.5660146777534,0.0,0.0
1,6,1,0.004527825556432298,0.004194617657881819,-1424.207009494694,-1377.8463204120499,0.0,0.0
1,6,2,0.004526156070648746,0.004197993364128684,-1421.201780577207,-1370.6264833961407,0.0,0.0
1,6,3,0.004533122722725525,0.004229543190228824,-1418.9575893025174,-1364.1676840230289,0.0,0.0
1,6,4,0.004526892505022817,0.00415075493815434,-1417.737147768249,-1358.7326343903387,0.0,0.0
1,6,5,0.004531838615118561,0.00425189781780634,-1416.796999012754,-1353.5778775364213,0.0,0.0
1,6,6,0.004522393294940269,0.004215535930776058,-1414.8207987200312,-1347.3870691452762,0.0,0.0
